caught,steps,path_length,final_distance,time
False,1000,222,13,2.472830057144165
False,1000,212,14,2.3689119815826416
False,1000,212,11,2.39067006111145
False,1000,212,17,2.4553117752075195
False,1000,215,15,2.756845235824585
False,1000,209,14,2.5183229446411133
False,1000,214,12,2.483031988143921
False,1000,215,15,3.2043209075927734
False,1000,215,13,2.7804641723632812
False,1000,210,12,2.4942331314086914
False,1000,215,11,2.4948489665985107
False,1000,214,17,2.4511730670928955
False,1000,210,17,2.457231044769287
False,1000,211,18,2.4460642337799072
False,1000,212,12,2.4468979835510254
False,1000,212,15,2.6366708278656006
False,1000,216,9,2.798642873764038
False,1000,207,13,2.6981308460235596
False,1000,213,13,2.566990852355957
False,1000,214,15,2.5225300788879395
False,1000,211,15,2.556929111480713
False,1000,212,12,2.445560932159424
False,1000,216,13,2.473013162612915
False,1000,212,8,2.486097812652588
False,1000,217,16,2.5134239196777344
False,1000,212,17,2.539100170135498
False,1000,210,11,2.542083740234375
False,1000,210,15,2.564328908920288
False,1000,211,9,2.5844521522521973
False,1000,217,12,2.504922866821289
False,1000,214,11,2.694728374481201
False,1000,208,11,2.5692286491394043
False,1000,213,23,2.550367832183838
False,1000,211,12,2.4758942127227783
False,1000,211,16,2.503980875015259
False,1000,205,12,2.491346836090088
False,1000,215,16,2.48136305809021
False,1000,214,22,2.4514482021331787
False,1000,213,15,3.1515419483184814
False,1000,209,19,3.0848588943481445
False,1000,216,13,2.5053610801696777
False,1000,217,17,2.6786911487579346
False,1000,216,7,2.498676061630249
False,1000,214,11,2.6102957725524902
False,1000,222,11,2.4764931201934814
False,1000,213,19,2.5168230533599854
False,1000,208,10,2.5277609825134277
False,1000,217,14,2.505905866622925
False,1000,211,18,2.4907288551330566
False,1000,212,18,2.500804901123047
False,1000,219,16,2.697355031967163
False,1000,216,12,3.1979660987854004
False,1000,214,12,2.8345859050750732
False,1000,213,18,2.509629964828491
False,1000,213,9,2.482805013656616
False,1000,217,18,2.515838146209717
False,1000,214,16,2.5073800086975098
False,1000,219,13,2.4917962551116943
False,1000,213,14,2.514155149459839
False,1000,212,9,2.477666139602661
False,1000,212,16,2.501091718673706
False,1000,213,13,2.4646971225738525
False,1000,208,15,2.535755157470703
False,1000,210,14,2.965348243713379
False,1000,208,15,3.171898126602173
False,1000,220,11,2.5497570037841797
False,1000,214,13,2.5443739891052246
False,1000,219,9,2.4736111164093018
False,1000,210,12,2.4597220420837402
False,1000,216,14,2.4706318378448486
False,1000,210,16,2.547790050506592
False,1000,214,7,2.481675148010254
False,1000,213,15,2.458414077758789
False,1000,214,13,2.4837071895599365
False,1000,219,13,2.4443280696868896
False,1000,207,15,2.5412001609802246
False,1000,216,18,3.2687647342681885
False,1000,213,15,2.903209924697876
False,1000,218,19,2.4812629222869873
False,1000,209,14,2.4836480617523193
False,1000,212,13,2.466495990753174
False,1000,213,11,2.452195167541504
False,1000,215,14,2.5173401832580566
False,1000,219,13,2.4567060470581055
False,1000,220,18,2.4421777725219727
False,1000,209,13,2.4520270824432373
False,1000,214,16,2.4882590770721436
False,1000,211,9,2.4949889183044434
False,1000,212,18,2.538670063018799
False,1000,219,15,3.2927169799804688
False,1000,217,11,2.926090955734253
False,1000,218,12,2.4935171604156494
False,1000,214,14,2.4797589778900146
False,1000,214,16,2.484860897064209
False,1000,218,12,2.4593589305877686
False,1000,212,17,2.459656000137329
False,1000,215,11,2.4762256145477295
False,1000,214,13,2.451364040374756
False,1000,207,16,2.443467855453491
False,1000,221,14,2.4674627780914307
